asset_id,asset_tag,name,description,asset_type_id,status_id,location_id,assigned_to,purchase_date,purchase_cost,vendor_id,warranty_expiry,serial_number
1,LAP-1001,Dell Latitude 7440,,1,4,1,2,2024-03-12,1489.99,1,2027-03-12,SN-110001
2,LAP-1002,Lenovo ThinkPad X1 Carbon,,1,11,1,3,2023-11-02,1799.00,1,2026-11-02,SN-110002
3,LAP-1003,"Apple MacBook Pro 14""",,1,2,1,4,2024-01-25,2399.00,1,2027-01-25,SN-110003
4,MON-1101,Dell UltraSharp U2723QE,,2,7,1,5,2024-04-18,549.99,8,2026-04-18,SN-110004
5,MON-1102,"Samsung 27"" Curved Display",,2,13,4,6,2023-09-23,329.99,8,2025-09-23,SN-110005
6,MON-1103,"LG UltraWide 34"" Monitor",,2,1,1,7,2023-12-10,699.99,8,2026-12-10,SN-110006
7,FUR-1201,Ergonomic Office Chair,,3,9,3,8,2024-05-14,219.99,6,2028-05-14,SN-110007
8,FUR-1202,Standing Desk 60x30,,3,5,1,9,2024-02-06,389.49,6,2029-02-06,SN-110008
9,FUR-1203,Conference Table 10ft,,3,6,1,10,2024-06-22,1249.00,6,2030-06-22,SN-110009
10,PHN-1301,Poly VVX 450 VoIP Phone,,4,12,1,11,2023-07-18,265.00,7,2026-07-18,SN-110010
11,PHN-1302,Yealink SIP-T46U VoIP Phone,,4,8,1,12,2024-01-02,249.99,7,2027-01-02,SN-110011
12,PRN-1401,HP LaserJet Pro M404n,,5,3,2,13,2023-10-04,329.00,6,2026-10-04,SN-110012
13,SFT-1501,Microsoft 365 Business Standard,,5,6,1,14,2025-01-01,149.99,5,2026-01-01,SN-110013
14,SFT-1502,Adobe Creative Cloud License,,5,10,1,15,2024-09-12,599.88,5,2025-09-12,SN-110014
15,NET-1601,Ubiquiti UniFi Dream Machine Pro,,6,2,1,16,2024-03-30,479.99,5,2028-03-30,SN-110015
16,NET-1602,Cisco Catalyst 2960X-48FPS,,6,7,2,17,2023-06-19,1899.00,15,2027-06-19,SN-110016
17,NET-1603,Aruba Instant AP22 WiFi 6,,6,1,1,18,2024-04-29,179.99,5,2027-04-29,SN-110017
18,CAM-1701,Hikvision Dome Camera 4K,,7,6,5,19,2024-02-14,229.00,14,2028-02-14,SN-110018
19,CAM-1702,Logitech C930e Webcam,,7,11,1,20,2024-01-17,109.99,3,2026-01-17,SN-110019
